CPFile	File	O1x	O1y	O2x	O2y	Perp	Date	Time	Tags	Scale	Sex	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24	x25	y25	x26	y26	x27	y27	x28	y28	x29	y29	x30	y30	x31	y31	x32	y32	x33	y33	x34	y34	x35	y35	x36	y36	x37	y37	x38	y38	x39	y39	x40	y40	x41	y41	x42	y42	x43	y43	x44	y44	x45	y45	x46	y46	x47	y47	x48	y48	CS
wing1000	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_01.tif	126.5	83	109.5	111.5	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.05170556	 -0.11379455	 -0.22353981	 -0.02220262	 -0.23369559	  0.02198871	 -0.13902106	  0.09074961	  0.11915754	  0.06127816	  0.19611451	  0.05434164	 -0.00348332	 -0.06560361	 -0.00732341	 -0.02166051	  0.08459368	 -0.00135685	  0.08109356	  0.01735663	  0.15484424	  0.02298901	  0.17517269	 -0.00846105	  0.19916653	 -0.01832382	  0.18510490	 -0.07009067	  0.14677277	 -0.10350482	  0.09910147	 -0.11948251	  0.04867848	 -0.12544844	 -0.00161971	 -0.12304064	 -0.09410334	 -0.10227528	 -0.14008419	 -0.08598381	 -0.18413545	 -0.06235920	 -0.23116782	 -0.00602118	 -0.21501715	  0.05399279	 -0.18142718	  0.07686517	 -0.09466893	  0.09587632	 -0.04915450	  0.09512182	 -0.00131498	  0.08995657	  0.05836046	  0.08023446	  0.15546711	  0.03625586	  0.19706524	  0.03170575	 -0.02855178	 -0.08286608	  0.05546663	 -0.04070977	  0.11311013	 -0.02231324	 -0.15590074	 -0.01725373	 -0.08571588	 -0.01704152	  0.03854318	 -0.01366833	  0.14164894	  0.00334759	 -0.17858430	  0.03002421	 -0.12376766	  0.03077464	 -0.05964652	  0.03026957	  0.01356776	  0.02843173	  0.11409241	  0.02047174	 -0.09348268	  0.07572577	 -0.04052071	  0.06836202	  0.01533222	  0.05868251	  0.07634123	  0.04539927	  0.15504804	  0.06709492	 -0.00621146	 -0.04383422	   5.238
wing1001	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_02.tif	112.5	98.5	103.5	129	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04743976	 -0.11127876	 -0.22204840	 -0.02499071	 -0.23397697	  0.01871815	 -0.14728965	  0.08908344	  0.12486871	  0.05607755	  0.20135970	  0.04987088	 -0.00450939	 -0.06304311	 -0.01243425	 -0.01906304	  0.08312302	 -0.00143742	  0.07916002	  0.01793512	  0.15614798	  0.02237590	  0.17343139	 -0.00853389	  0.20175916	 -0.02146234	  0.18325688	 -0.06836799	  0.14681354	 -0.10263165	  0.09910383	 -0.11669459	  0.04910574	 -0.12148144	 -0.00062298	 -0.11873329	 -0.09306325	 -0.10082215	 -0.13924375	 -0.08580787	 -0.18348887	 -0.06269518	 -0.23152065	 -0.00648113	 -0.21358003	  0.05343588	 -0.18044106	  0.07651146	 -0.09408682	  0.09679555	 -0.04863367	  0.09572389	 -0.00103603	  0.08961046	  0.05819151	  0.07857168	  0.15498225	  0.03572576	  0.20036655	  0.02984993	 -0.02651638	 -0.07998335	  0.05591502	 -0.03864978	  0.11263497	 -0.02204150	 -0.15608639	 -0.01761135	 -0.08566930	 -0.01619112	  0.03819235	 -0.01244833	  0.14226701	  0.00178966	 -0.17820291	  0.02772755	 -0.12324189	  0.03055391	 -0.05891282	  0.03110791	  0.01439897	  0.02780947	  0.11538825	  0.02087754	 -0.09965740	  0.07632758	 -0.04506521	  0.06908945	  0.01253013	  0.05930184	  0.07534165	  0.04537583	  0.16038800	  0.06212757	 -0.01195879	 -0.04192397	   5.362
wing1002	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_04.tif	135.5	97	123	125	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04694678	 -0.11698632	 -0.22253298	 -0.02587429	 -0.23370533	  0.02286229	 -0.13619686	  0.09320661	  0.12327101	  0.06040047	  0.19736315	  0.05080482	 -0.00433146	 -0.06688159	 -0.01287792	 -0.02018121	  0.08439294	 -0.00084066	  0.08278638	  0.01879881	  0.14815513	  0.02118399	  0.17600295	 -0.00609059	  0.19871632	 -0.01679083	  0.18532519	 -0.06923690	  0.14738162	 -0.10171555	  0.10001733	 -0.11756532	  0.04989238	 -0.12508009	 -0.00054909	 -0.12461081	 -0.09366323	 -0.10447197	 -0.13982726	 -0.08784108	 -0.18418565	 -0.06392979	 -0.23187124	 -0.00671881	 -0.21481739	  0.05427859	 -0.18139883	  0.07806895	 -0.09394847	  0.09788379	 -0.04817972	  0.09675209	 -0.00024716	  0.09091224	  0.05942800	  0.08030342	  0.15657900	  0.03616780	  0.19783751	  0.02710881	 -0.02671692	 -0.08401680	  0.05659081	 -0.03970006	  0.11399478	 -0.02078240	 -0.15590631	 -0.01822111	 -0.08644954	 -0.01679390	  0.03590421	 -0.01295257	  0.13825856	  0.00259953	 -0.17698022	  0.02875734	 -0.12324484	  0.03123021	 -0.06032019	  0.03118234	  0.01157405	  0.02906206	  0.11020352	  0.01939421	 -0.09231655	  0.07883727	 -0.04088901	  0.07089165	  0.01336674	  0.06054980	  0.07250878	  0.04630511	  0.15781316	  0.06347218	 -0.00926059	 -0.04373173	   5.311
wing1003	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_05.tif	129.5	74	112	99.5	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04958824	 -0.11462404	 -0.22429471	 -0.02210077	 -0.23480822	  0.02102524	 -0.13970643	  0.09011860	  0.12028999	  0.06025838	  0.19806944	  0.05409529	 -0.00545915	 -0.06502811	 -0.01427759	 -0.02084549	  0.08625609	 -0.00160807	  0.08444392	  0.01752519	  0.15696724	  0.02349566	  0.17199850	 -0.00581853	  0.19794881	 -0.01529606	  0.18444641	 -0.06939476	  0.14677182	 -0.10264694	  0.09952319	 -0.11925063	  0.04935216	 -0.12648657	 -0.00101891	 -0.12411968	 -0.09293272	 -0.10187829	 -0.13830388	 -0.08461418	 -0.18208312	 -0.06135943	 -0.23219240	 -0.00749614	 -0.21406749	  0.05351423	 -0.18056791	  0.07641435	 -0.09397477	  0.09550330	 -0.04858834	  0.09456029	 -0.00092157	  0.08913372	  0.05850549	  0.07916634	  0.15544739	  0.03616663	  0.19802545	  0.02879129	 -0.02842512	 -0.08316028	  0.05433368	 -0.04035565	  0.11130422	 -0.02227777	 -0.15741792	 -0.01739883	 -0.08719990	 -0.01685886	  0.03682108	 -0.01340436	  0.14032653	  0.00257632	 -0.17869759	  0.02917261	 -0.12343254	  0.03042997	 -0.05879466	  0.03019531	  0.01500020	  0.02850272	  0.11639242	  0.02039095	 -0.09383956	  0.07671801	 -0.04025438	  0.07099825	  0.01601215	  0.06034973	  0.07709288	  0.04498681	  0.15614156	  0.06507889	 -0.01062350	 -0.04314465	   5.104
wing1004	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_06.tif	121	104	114.5	133	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.05448009	 -0.11337171	 -0.21972951	 -0.02551628	 -0.23302338	  0.01929745	 -0.14607489	  0.08948543	  0.12283141	  0.05795445	  0.20227383	  0.05042588	 -0.00571930	 -0.06443522	 -0.01370334	 -0.01783361	  0.08299734	 -0.00013701	  0.08169571	  0.01873368	  0.15319057	  0.02313477	  0.17409834	 -0.00931673	  0.20056424	 -0.01620440	  0.18583476	 -0.06995828	  0.14737906	 -0.10247904	  0.10013419	 -0.11884027	  0.04987353	 -0.12507665	 -0.00041671	 -0.12343441	 -0.09272166	 -0.10229582	 -0.13829166	 -0.08521301	 -0.18195106	 -0.06150847	 -0.22987941	 -0.00661385	 -0.21394716	  0.05334551	 -0.18072133	  0.07688828	 -0.09378975	  0.09609542	 -0.04830812	  0.09460802	 -0.00066812	  0.08840153	  0.05871689	  0.07756095	  0.15659210	  0.03668770	  0.20168979	  0.02766304	 -0.03058618	 -0.08261273	  0.05320627	 -0.03912516	  0.11168522	 -0.02239290	 -0.15398625	 -0.01696471	 -0.08424631	 -0.01512006	  0.03843357	 -0.01019669	  0.14153198	  0.00431459	 -0.17745854	  0.02856094	 -0.12298190	  0.03059402	 -0.05925137	  0.03084115	  0.01351411	  0.02920684	  0.11350167	  0.02106991	 -0.09830856	  0.07780151	 -0.04468037	  0.06936260	  0.01207895	  0.05959179	  0.07386163	  0.04524234	  0.15983416	  0.06321423	 -0.01059432	 -0.04143505	   5.190
wing1005	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_07.tif	101	93.5	90.5	124	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.05019115	 -0.11283164	 -0.22291424	 -0.02153612	 -0.23448687	  0.02024570	 -0.14592814	  0.08840517	  0.12319591	  0.05905771	  0.19893755	  0.05189062	 -0.00401403	 -0.06243077	 -0.01010093	 -0.01863896	  0.08472154	 -0.00017156	  0.08211839	  0.01848053	  0.15378411	  0.02114628	  0.17401383	 -0.01045751	  0.20055264	 -0.01535880	  0.18719544	 -0.07044492	  0.14791602	 -0.10302998	  0.10021443	 -0.11810269	  0.05004566	 -0.12436452	 -0.00001594	 -0.12231716	 -0.09198080	 -0.10091310	 -0.13750609	 -0.08411698	 -0.18128353	 -0.06095711	 -0.23074663	 -0.00704976	 -0.21435629	  0.05449881	 -0.18029374	  0.07720495	 -0.09330124	  0.09423996	 -0.04800597	  0.09287172	 -0.00035132	  0.08746343	  0.05914697	  0.07790173	  0.15699908	  0.03730222	  0.20080534	  0.02651862	 -0.02908421	 -0.08029808	  0.05483355	 -0.03907154	  0.11249395	 -0.02297211	 -0.15574592	 -0.01759611	 -0.08558867	 -0.01621606	  0.03799035	 -0.01131010	  0.14171621	  0.00281665	 -0.17877104	  0.02793833	 -0.12400822	  0.02971278	 -0.05993665	  0.03036790	  0.01324849	  0.02923540	  0.11359396	  0.02043485	 -0.09910710	  0.07654806	 -0.04508824	  0.06955064	  0.01188036	  0.05957544	  0.07386866	  0.04500609	  0.15830094	  0.06354920	 -0.01476643	 -0.04177720	   5.158
wing1006	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_08.tif	94.5	110	90	141	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04508903	 -0.11227645	 -0.22153555	 -0.02402930	 -0.23429815	  0.02136265	 -0.14530475	  0.09025689	  0.12366251	  0.05811660	  0.20091421	  0.05079733	 -0.00291770	 -0.06437421	 -0.01528599	 -0.01923343	  0.08520558	 -0.00169265	  0.08518818	  0.01968364	  0.14965504	  0.02212659	  0.17520213	 -0.00985071	  0.19830353	 -0.01730427	  0.18534316	 -0.06942912	  0.14797683	 -0.10337238	  0.10049354	 -0.12024297	  0.04999544	 -0.12467765	  0.00000276	 -0.12056243	 -0.09224609	 -0.10045408	 -0.13812701	 -0.08463875	 -0.18202969	 -0.06140874	 -0.23117953	 -0.00670509	 -0.21427726	  0.05461604	 -0.18059941	  0.07786991	 -0.09347488	  0.09653819	 -0.04802938	  0.09494342	 -0.00042623	  0.08867037	  0.05891270	  0.07786587	  0.15679106	  0.03730263	  0.20004196	  0.02804409	 -0.02462207	 -0.08080082	  0.05797236	 -0.04008626	  0.11441968	 -0.02302409	 -0.15479813	 -0.01751406	 -0.08517501	 -0.01635533	  0.03724385	 -0.01224713	  0.14018805	  0.00189844	 -0.17907228	  0.02889447	 -0.12492642	  0.03004957	 -0.06160544	  0.02939730	  0.01072221	  0.02739827	  0.11002038	  0.02056193	 -0.09823606	  0.07827150	 -0.04528187	  0.06983468	  0.01071305	  0.05973662	  0.07165393	  0.04518433	  0.15966038	  0.06365927	 -0.01174462	 -0.04280069	   5.178
wing1007	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_09.tif	93	155.5	98.5	184.5	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04768725	 -0.11427640	 -0.22269416	 -0.02240892	 -0.23378077	  0.02286734	 -0.14024973	  0.09022313	  0.12150343	  0.06067184	  0.19624040	  0.05168026	 -0.00532437	 -0.06457724	 -0.01622720	 -0.02152054	  0.08194794	 -0.00145359	  0.08028764	  0.01938489	  0.15567377	  0.02240173	  0.17346319	 -0.00948486	  0.20058893	 -0.01531886	  0.18551160	 -0.06928734	  0.14926476	 -0.10502843	  0.10087348	 -0.11973920	  0.05034337	 -0.12465243	  0.00011477	 -0.12209908	 -0.09277035	 -0.10317891	 -0.13898424	 -0.08724423	 -0.18299132	 -0.06325056	 -0.23050909	 -0.00695308	 -0.21490398	  0.05428915	 -0.18066779	  0.07680847	 -0.09359332	  0.09596780	 -0.04798148	  0.09522390	 -0.00010209	  0.08983004	  0.05956144	  0.07966057	  0.15670508	  0.03589430	  0.19783105	  0.02717264	 -0.02692569	 -0.08253745	  0.05516918	 -0.03926486	  0.11201079	 -0.02177399	 -0.15687319	 -0.01821150	 -0.08719812	 -0.01788161	  0.03584690	 -0.01229799	  0.13839076	  0.00391012	 -0.17817517	  0.02859052	 -0.12329410	  0.03056492	 -0.05909638	  0.03159874	  0.01421416	  0.02989981	  0.11486548	  0.02076510	 -0.09458255	  0.07741403	 -0.04112541	  0.07133238	  0.01493688	  0.06005353	  0.07601509	  0.04501000	  0.15639067	  0.06466600	 -0.01201302	 -0.04344016	   5.167
wing1008	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_10.tif	97.5	89	87.5	117.5	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04816468	 -0.11265083	 -0.22494990	 -0.02251500	 -0.23499422	  0.02398349	 -0.14348195	  0.09068642	  0.12144375	  0.05772138	  0.19609820	  0.05271685	 -0.00359018	 -0.06545241	 -0.00899974	 -0.02136799	  0.08575597	 -0.00030355	  0.08265926	  0.01728958	  0.15973879	  0.02287789	  0.17273587	 -0.00672462	  0.19958133	 -0.01503772	  0.18479098	 -0.06903803	  0.14652985	 -0.10166068	  0.09958680	 -0.11889730	  0.04934244	 -0.12466007	 -0.00071913	 -0.12177073	 -0.09244176	 -0.10018742	 -0.13807426	 -0.08391054	 -0.18228668	 -0.06168457	 -0.23259019	 -0.00776079	 -0.21558209	  0.05454823	 -0.18177061	  0.07797792	 -0.09449674	  0.09558681	 -0.04926527	  0.09343574	 -0.00192934	  0.08672909	  0.05721171	  0.07570267	  0.15555555	  0.03792492	  0.19733108	  0.02873449	 -0.02605531	 -0.08215090	  0.05554314	 -0.03938780	  0.11220588	 -0.02195526	 -0.15859300	 -0.01693239	 -0.08855775	 -0.01747717	  0.03572717	 -0.01442879	  0.13835368	  0.00438106	 -0.17851328	  0.03079597	 -0.12292998	  0.03130339	 -0.05795035	  0.02968552	  0.01628026	  0.02686333	  0.11810587	  0.02130649	 -0.09660560	  0.07618707	 -0.04209759	  0.06837373	  0.01534507	  0.05775110	  0.07804116	  0.04341821	  0.15598461	  0.06392889	 -0.00930885	 -0.04395569	   5.166
wing1009	C:\Waiting_Wings\KP\AfPop\PL\2XC\Spline\kp_ef81_1_f_11.tif	118.5	97.5	112	125.5	KP	12_10_2018	14:39:39	mel	0.01134	MF	 -0.04806100	 -0.11463377	 -0.22354797	 -0.02452267	 -0.23447082	  0.02440809	 -0.14319478	  0.09057017	  0.12104287	  0.05901261	  0.19673588	  0.05157425	 -0.00243051	 -0.06521822	 -0.01086204	 -0.01903180	  0.08302597	 -0.00073658	  0.08013680	  0.01787784	  0.16341993	  0.02175597	  0.17080453	 -0.00954043	  0.19509038	 -0.01222082	  0.18384511	 -0.06800731	  0.14635814	 -0.10129730	  0.09955233	 -0.11934247	  0.04918830	 -0.12632272	 -0.00122410	 -0.12345442	 -0.09351007	 -0.10223534	 -0.13930344	 -0.08580479	 -0.18333498	 -0.06264018	 -0.23238899	 -0.00785543	 -0.21615825	  0.05346772	 -0.18268321	  0.07718491	 -0.09550698	  0.09606524	 -0.05002054	  0.09490833	 -0.00228232	  0.08939792	  0.05719041	  0.07935722	  0.15430927	  0.03667135	  0.19853106	  0.02896984	 -0.02594408	 -0.08397984	  0.05432842	 -0.04023401	  0.11028334	 -0.02197874	 -0.15678528	 -0.01670118	 -0.08740733	 -0.01551894	  0.03493769	 -0.01205126	  0.13683186	  0.00505250	 -0.17796839	  0.02998164	 -0.12194054	  0.03148425	 -0.05639268	  0.03145415	  0.01824854	  0.02799981	  0.12105871	  0.02114277	 -0.09542197	  0.07670922	 -0.04027030	  0.06908026	  0.01764460	  0.05738775	  0.08087955	  0.04220777	  0.15589060	  0.06215479	 -0.00822373	 -0.04254815	   5.226
